Time,Cum. Inj Water,Cum. Prod Water ,Cum Oil prod,Cum. Inj CO2,Cum. Prod Gas,Pressure
hrs,rml,Sml,Sml,rml,SCC,atm
0.895670563,11.26036475,-0.414007993,9.24306594,0,770.2258786,255.2275753
0.904003897,11.36508265,-0.423970023,9.21313653,0,826.4449561,255.2275753
0.91233723,11.46665901,-0.423970023,9.21313653,0,761.558409,255.1866502
0.920670563,11.57137691,-0.503666263,10.39982023,0,795.0049413,255.3503498
0.929003896,11.67609481,-0.503666263,10.39982023,0,779.6339375,255.3503498
0.93733723,11.78081271,-0.463818143,10.04084059,0,808.7441366,255.1866502
0.945670563,11.88657779,-0.463818143,10.04084059,0,848.0446056,255.3503498
0.954003897,11.99129569,-0.513628293,10.32999938,0,808.4257451,255.3503498
0.96233723,12.09601359,-0.513628293,10.32999938,0,818.3408646,255.2685002
0.970670563,12.20073149,-0.533552353,10.49951634,0,858.5141084,255.2275753
0.979003896,12.30544939,-0.533552353,10.49951634,0,837.4863229,255.2275753
0.98733723,12.41016729,-0.573400473,10.39974442,0,843.5814491,255.2685002
0.995670563,12.51488519,-0.573400473,10.39974442,0,895.3594233,255.1866502
1.004003896,12.61960309,-0.573400473,10.39974442,0,874.0003165,255.1047998
1.01233723,12.72432099,-0.633172653,10.73875668,0,862.6302492,255.1047998
1.020670563,12.83008607,-0.633172653,10.73875668,0,842.8507835,255.1457251
1.029003896,12.93480397,-0.533552353,11.02807792,0,891.3405967,255.1457251
1.03733723,13.03952187,-0.533552353,11.02807792,0,890.2628723,255.3503498
1.045670563,13.14423977,-0.623210623,11.40694913,0,941.7349736,255.0638745
1.054003896,13.24895767,-0.623210623,11.40694913,0,918.3625792,255.2685002
1.06233723,13.35367557,-0.663058743,11.69611875,0,949.0307797,255.1457251
1.070670563,13.45944065,-0.663058743,11.69611875,0,942.987675,255.3912744
1.079003896,13.56415855,-0.663058743,11.70609161,0,909.3995274,255.2685002
1.08733723,13.66887645,-0.663058743,11.70609161,0,909.3886223,255.2275753
1.095670563,13.77359435,-0.653096713,12.14823257,0,929.4695317,255.1866502
1.104003896,13.87831225,-0.653096713,12.14823257,0,938.0611204,255.2685002
1.11233723,13.98303015,-0.653096713,12.14823257,0,983.3219449,255.2275753
1.120670563,14.08879523,-0.653096713,12.14823257,0,942.0518817,255.1047998
1.129003896,14.19351313,-0.653096713,12.14823257,0,1003.650716,255.2275753
1.13733723,14.29823103,-0.643134683,12.67348069,0,999.3658206,255.2275753
1.145670563,14.39980739,-0.643134683,12.67348069,0,965.375573,255.2275753
1.154003896,14.50452529,-0.613248593,12.88294324,0,1035.142858,255.2685002
1.16233723,14.60924319,-0.613248593,12.88294324,0,998.6396312,255.1866502
1.170670563,14.71396109,-0.593324533,12.40426762,0,1042.122199,255.2685002
1.179003896,14.81867899,-0.593324533,12.40426762,0,1036.67809,255.2685002
1.18733723,14.92339689,-0.533552353,12.43425118,0,995.1348861,255.2685002
1.195670563,15.02811479,-0.533552353,12.43425118,0,1005.299281,255.309425
1.204003896,15.13283269,-0.533552353,12.43425118,0,1048.729967,255.2685002
1.21233723,15.23859777,-0.603286563,12.98600696,0,1063.437507,255.1047998
1.220670563,15.34226849,-0.603286563,12.98600696,0,1087.632418,255.3912744
1.229003897,15.44698639,-0.543514383,12.77331759,0,1046.267713,255.2275753
1.23733723,15.55275147,-0.543514383,12.77331759,0,1035.373275,255.309425
1.245670563,15.65746937,-0.543514383,13.37168919,0,1064.077381,255.2275753
1.254003896,15.76218727,-0.543514383,13.37168919,0,1102.747748,255.4731233
1.26233723,15.86690517,-0.623210623,13.88021841,0,1077.677825,255.309425
1.270670563,15.97162307,-0.623210623,13.88021841,0,1113.370985,255.2685002
1.279003897,16.07738815,-0.523590323,13.24206367,0,1057.587501,255.1457251
1.28733723,16.18210605,-0.523590323,13.24206367,0,1055.061647,255.4731233
1.295670563,16.28682395,-0.623210623,13.86027269,0,1150.334205,255.2275753
1.304003896,16.39154185,-0.623210623,13.86027269,0,1107.586367,255.1866502
1.31233723,16.49625975,-0.643134683,13.64084811,0,1063.244478,255.2685002
1.320670563,16.60097765,-0.643134683,13.64084811,0,1171.06405,255.3503498
1.329003897,16.70569555,-0.643134683,13.64084811,0,1124.99496,255.2685002
1.33733723,16.81146063,-0.593324533,14.28913816,0,1144.992083,255.309425
1.345670563,16.91617853,-0.593324533,14.28913816,0,1129.880389,255.2275753
1.354003896,17.01880207,-0.513628293,14.06982188,0,1164.424191,255.2685002
1.36233723,17.12351997,-0.513628293,14.06982188,0,1158.287611,255.2275753
1.370670563,17.22823787,-0.523590323,14.34905113,0,1200.414751,255.2685002
1.379003896,17.33295577,-0.523590323,14.34905113,0,1153.433086,255.2685002
1.38733723,17.43767367,-0.573400473,14.66214478,0,1196.043408,255.2685002
1.395670563,17.54239157,-0.573400473,14.66214478,0,1207.55363,255.309425
1.404003896,17.64710947,-0.573400473,14.7179928,0,1187.432331,255.3912744
1.41233723,17.75287455,-0.573400473,14.7179928,0,1224.05161,255.3912744
1.420670563,17.85759245,-0.593324533,15.3263156,0,1237.400151,255.2685002
1.429003896,17.96231035,-0.593324533,15.3263156,0,1180.290866,255.2685002
1.43733723,18.06702825,-0.563438443,14.87756939,0,1211.761572,255.3503498
1.445670563,18.17174615,-0.563438443,14.87756939,0,1221.282246,255.2685002
1.454003896,18.27646405,-0.563438443,14.87756939,0,1275.201564,255.309425
1.46233723,18.38222913,-0.583362503,15.18670639,0,1313.861624,255.3912744
