CO2 Time,Total Time,Cum. Inj. Water,Cum Prod Water,Cum. Oil Prod. ,Cum. Inj CO2,Cum. Prod Gas, CH Pressure
(hrs),(hrs),(rml),ml,(sep_ml),(rml),(std.cc),atm
103.2447279,464.7828985,4095.597751,3185.108296,733.7426076,1081.660692,328000.0846,254.6334647
103.2613946,464.7995651,4095.597751,3183.870514,732.9801312,1081.835571,328030.7914,254.674303
103.2780612,464.8162318,4095.597751,3184.667477,732.2940147,1082.01045,328079.0865,254.674303
103.2947279,464.8328985,4095.597751,3185.195464,731.9780757,1082.185329,328164.17,254.8376549
103.3113946,464.8495651,4095.597751,3185.504287,731.8315831,1082.35916,328207.3615,254.7151411
103.3280612,464.8662318,4095.597751,3185.683604,730.9271422,1082.532992,328257.8683,254.674303
103.3447279,464.8828985,4095.597751,3185.852958,732.4162463,1082.707871,328342.3257,254.7559792
103.3613946,464.8995651,4095.597751,3185.942616,731.6015395,1082.88275,328399.5661,254.7559792
103.3780612,464.9162318,4095.597751,3186.092047,730.437631,1083.057629,328443.9231,254.7151411
103.3947279,464.9328985,4095.597751,3186.102009,731.5974639,1083.232508,328445.5144,254.6334647
103.4113946,464.9495651,4095.597751,3186.171743,731.9993855,1083.407386,328532.1373,254.674303
103.4280612,464.9662318,4095.597751,3186.131895,730.5062751,1083.579124,328559.6674,254.8784927
103.4447279,464.9828985,4095.597751,3186.052199,730.7387671,1083.754003,328596.1939,254.5517879
103.4613946,464.9995651,4095.597751,3186.201629,731.3998703,1083.928882,328655.2947,254.674303
103.4780612,465.0162318,4095.597751,3186.191667,731.6323565,1084.103761,328707.7685,254.7559792
103.4947279,465.0328985,4095.597751,3186.291287,730.8574003,1084.278639,328717.3158,254.7559792
103.5113946,465.0495651,4095.597751,3186.311211,731.2094366,1084.453518,328736.6205,254.7968171
103.5280612,465.0662318,4095.597751,3186.341098,731.2094366,1084.628397,328788.9547,254.7968171
103.5447279,465.0828985,4095.597751,3186.341098,730.8033948,1084.802229,328841.2712,254.674303
103.5613946,465.0995651,4095.597751,3186.241477,730.6767395,1084.977108,328875.9041,254.674303
103.5780612,465.1162318,4095.597751,3186.321174,730.4304201,1085.151987,328895.4315,254.8376549
103.5947279,465.1328985,4095.597751,3186.321174,731.370715,1085.326866,328955.3119,254.7559792
103.6113946,465.1495651,4095.597751,3186.311211,731.164217,1085.501744,328972.8309,254.674303
103.6280612,465.1662318,4095.597751,3186.291287,730.9378057,1085.676623,329011.9724,254.7151411
103.6447279,465.1828985,4095.597751,3186.301249,731.8282739,1085.851502,329041.069,254.7968171
103.6613946,465.1995651,4095.597751,3186.281325,730.873898,1086.02324,329058.377,254.7151411
103.6780612,465.2162318,4095.597751,3186.341098,731.2457666,1086.198119,329103.0233,254.7559792
103.6947279,465.2328985,4095.597751,3186.311211,731.1590136,1086.372997,329136.8932,254.8376549
103.7113946,465.2495651,4095.597751,3186.40087,730.9026678,1086.547876,329160.6029,254.7968171
103.7280612,465.2662318,4095.597751,3186.440718,731.543803,1086.722755,329218.9997,254.9737804
103.7447279,465.2828985,4095.597751,3186.321174,730.9882989,1086.896587,329240.3934,254.9193303
103.7613946,465.2995651,4095.597751,3186.430756,731.4997334,1087.071466,329274.0653,254.7151411
103.7780612,465.3162318,4095.597751,3186.35106,730.8145381,1087.246345,329303.8162,254.7968171
103.7947279,465.3328985,4095.597751,3186.331136,731.7948537,1087.421224,329345.2576,254.8376549
103.8113946,465.3495651,4095.597751,3186.35106,730.8802342,1087.596102,329367.9006,254.8784927
103.8280612,465.3662318,4095.597751,3186.331136,731.0527482,1087.770981,329396.8154,254.7968171
103.8447279,465.3828985,4095.597751,3186.35106,730.7765051,1087.94586,329435.7605,254.7968171
103.8613946,465.3995651,4095.597751,3186.390908,731.6969078,1088.119692,329494.5777,254.7559792
103.8780612,465.4162318,4095.597751,3186.341098,731.0616093,1088.294571,329499.8162,254.8784927
103.8947279,465.4328985,4095.597751,3186.35106,731.0844928,1088.46945,329538.6885,254.9193303
103.9113946,465.4495651,4095.597751,3186.380946,731.1073004,1088.644329,329563.919,254.8376549
103.9280612,465.4662318,4095.597751,3186.341098,730.6215248,1088.819208,329612.9402,254.7968171
103.9447279,465.4828985,4095.597751,3186.331136,731.691591,1088.994086,329624.8302,254.9737804
103.9613946,465.4995651,4095.597751,3186.390908,731.4850771,1089.165824,329652.9791,255.0554551
103.9780612,465.5162318,4095.597751,3186.40087,730.6802075,1089.340703,329683.0103,254.8784927
103.9947279,465.5328985,4095.597751,3186.380946,730.423921,1089.515582,329742.4174,254.9737804
104.0113946,465.5495651,4095.597751,3186.430756,730.8756642,1089.689413,329760.9717,254.9193303
104.0280612,465.5662318,4095.597751,3186.440718,730.6890201,1089.864292,329776.191,254.8784927
104.0447279,465.5828985,4095.597751,3186.380946,730.9414572,1090.039171,329809.6594,254.9193303
104.0613946,465.5995651,4095.597751,3186.440718,730.5356051,1090.21405,329823.9968,254.9193303
104.0780612,465.6162318,4095.597751,3186.560262,730.6384664,1090.388929,329841.8801,254.9193303
104.0947279,465.6328985,4095.597751,3186.769465,730.3422509,1090.563808,329822.6897,255.0146178
104.1113946,465.6495651,4095.597751,3186.829237,729.8766159,1090.738687,329825.8206,254.9737804
104.1280612,465.6662318,4095.597751,3186.998592,730.2486195,1090.913566,329796.7765,254.9193303
104.1447279,465.6828985,4095.597751,3187.048402,730.4908945,1091.088444,329835.9115,255.0962923
104.1613946,465.6995651,4095.597751,3186.978668,730.5637073,1091.260182,329817.7682,254.8784927
104.1780612,465.7162318,4095.597751,3187.068326,729.9382523,1091.438202,329815.3213,255.0146178
104.1947279,465.7328985,4095.597751,3187.048402,729.8714068,1091.60994,329806.6669,255.1371294
104.2113946,465.7495651,4095.597751,3187.058364,728.926847,1091.784818,329815.9067,255.1371294
104.2280612,465.7662318,4095.597751,3187.018516,730.1964247,1091.959697,329808.0638,255.1371294
104.2447279,465.7828985,4095.597751,3187.128098,730.5184825,1092.133529,329804.0337,255.1371294
