CO2 Time,Total Time,Cum. Inj Water at inlet,Cum. Prod Water ,Cum Oil prod. ,Cum. Inj CO2,Cum. Prod Gas,Pressure
(hrs),hrs,(rml),ml,(sep_ml),(rml),(std.cc),atm
1.4998,1375.7630,2812.3138,2628.3986,85.1462,3.1428,0.0252,256.5324
1.5165,1375.7797,2812.3138,2628.6972,84.9919,3.1774,-0.0050,256.5324
1.5331,1375.7964,2812.3138,2628.8486,84.8234,3.2130,0.0077,256.5324
1.5498,1375.8130,2812.3138,2628.9301,84.7305,3.2476,0.0032,256.5734
1.5665,1375.8297,2812.3138,2628.7629,84.9334,3.2822,0.0107,256.5324
1.5831,1375.8464,2812.3138,2628.7315,84.9619,3.3178,0.0295,256.5324
1.5998,1375.8630,2812.3138,2628.9046,84.8089,3.3524,0.0137,256.5324
1.6165,1375.8797,2812.3138,2628.7901,84.9505,3.3870,0.0078,256.5324
1.6331,1375.8964,2812.3138,2628.9658,84.7962,3.4226,0.0234,256.5324
1.6498,1375.9130,2812.3138,2628.9029,84.8934,3.4572,0.0220,256.5324
1.6665,1375.9297,2812.3138,2629.0360,84.8032,3.4928,-0.0007,256.5324
1.6831,1375.9464,2812.3138,2629.1144,84.7505,3.5274,0.0107,256.5324
1.6998,1375.9630,2812.3138,2629.0444,84.8748,3.5619,0.0215,256.5734
1.7165,1375.9797,2812.3138,2629.0172,84.8448,3.5965,0.0103,256.5734
1.7331,1375.9964,2812.3138,2628.9957,84.9477,3.6321,0.0203,256.5324
1.7498,1376.0130,2812.3138,2629.0567,84.9210,3.6667,0.0274,256.5324
1.7665,1376.0297,2812.3138,2629.4415,84.5091,3.7013,0.0221,256.5734
1.7831,1376.0464,2812.3138,2629.3227,84.6822,3.7369,0.0142,256.5734
1.7998,1376.0630,2812.3138,2629.1529,84.8848,3.7715,0.0244,256.5734
1.8165,1376.0797,2812.3138,2629.3658,84.6234,3.8061,0.0331,256.5734
