Time,Cum. Inj. Water,Cum Prod Water,Cum. Oil Prod. ,Cum. Inj CO2,Cum. Prod Gas,Pressure
(hrs),(rml),ml,(sep_ml),(rml),(std.cc),atm
2.580,32.431,-0.083,25.192,0.000,2697.928,296.433
2.596,32.640,-0.242,25.022,0.000,2739.668,296.230
2.613,32.850,-0.093,25.355,0.000,2750.830,296.311
2.630,33.059,-0.272,25.551,0.000,2741.447,296.311
2.646,33.269,-0.521,25.979,0.000,2765.628,296.393
2.663,33.479,-0.013,25.870,0.000,2776.127,296.270
2.680,33.688,-0.491,27.046,0.000,2822.082,296.311
2.696,33.899,-0.481,26.637,0.000,2828.781,296.352
2.713,34.108,-0.282,27.286,0.000,2847.189,296.352
2.730,34.318,-0.651,27.545,0.000,2857.854,296.433
2.746,34.527,-0.242,26.757,0.000,2885.615,296.352
2.763,34.738,-0.402,27.726,0.000,2881.123,296.230
2.780,34.944,-0.711,28.263,0.000,2923.083,296.393
2.796,35.154,-0.711,28.263,0.000,2941.932,296.311
2.813,35.363,-0.452,27.984,0.000,2955.008,296.311
2.830,35.573,-0.262,28.712,0.000,2977.726,296.230
2.846,35.783,-0.571,28.791,0.000,2982.153,296.311
2.863,35.992,-0.183,27.805,0.000,3020.624,296.230
2.880,36.202,-0.123,28.253,0.000,3031.094,296.393
2.896,36.411,-0.143,28.872,0.000,3048.730,296.393
2.913,36.622,-0.422,29.111,0.000,3060.978,296.393
2.930,36.831,-0.232,29.211,0.000,3082.721,296.230
2.946,37.041,-0.711,29.639,0.000,3110.064,296.148
2.963,37.250,-0.641,29.350,0.000,3102.787,296.393
2.980,37.461,-0.501,29.300,0.000,3102.242,296.311
2.996,37.670,-0.382,30.088,0.000,3124.177,296.352
3.013,37.880,-0.561,29.938,0.000,3150.479,296.230
3.030,38.090,-0.591,30.537,0.000,3166.474,296.433
3.046,38.297,-0.362,30.196,0.000,3190.303,296.270
3.063,38.506,-0.362,30.196,0.000,3209.148,296.393
3.080,38.715,-0.382,29.959,0.000,3214.387,296.352
3.096,38.925,-0.611,30.786,0.000,3253.856,296.148
3.113,39.135,-0.332,30.557,0.000,3273.680,296.311
3.130,39.345,-0.501,30.619,0.000,3267.849,296.148
3.146,39.555,-0.422,31.491,0.000,3286.677,296.352
3.163,39.765,-0.372,31.076,0.000,3303.580,296.311
3.180,39.974,-0.282,31.459,0.000,3302.451,296.189
3.196,40.185,-0.402,31.221,0.000,3323.098,296.352
3.213,40.394,-0.013,31.395,0.000,3363.735,296.474
3.230,40.602,-0.372,32.086,0.000,3369.215,296.189
3.246,40.811,-0.183,31.732,0.000,3400.778,296.352
3.263,41.021,-0.432,31.826,0.000,3430.296,296.393
3.280,41.230,-0.432,31.959,0.000,3430.296,296.393
3.296,41.439,-0.511,32.721,0.000,3446.662,296.352
3.313,41.650,-0.571,32.594,0.000,3457.471,296.433
3.330,41.859,-0.202,32.639,0.000,3499.182,296.270
3.346,42.070,-0.481,32.662,0.000,3516.794,296.270
3.363,42.279,-0.212,33.255,0.000,3541.018,296.433
3.380,42.489,-0.113,33.448,0.000,3546.677,296.393
3.396,42.699,-0.402,33.632,0.000,3557.132,296.393
3.413,42.909,-0.521,33.812,0.000,3584.963,296.270
3.430,43.116,-0.442,33.258,0.000,3613.677,296.230
3.446,43.326,-0.601,34.040,0.000,3630.768,296.352
3.463,43.535,-0.272,33.635,0.000,3641.486,296.433
3.480,43.745,-0.651,34.357,0.000,3663.866,296.393
3.496,43.954,-0.382,34.341,0.000,3693.766,296.311
3.513,44.164,-0.561,34.833,0.000,3679.064,296.311
3.530,44.373,-0.561,34.967,0.000,3700.898,296.352
3.546,44.583,-0.392,34.930,0.000,3719.342,296.311
3.563,44.793,-0.621,35.214,0.000,3724.587,296.311
3.580,45.002,-0.481,35.177,0.000,3748.151,296.515
3.596,45.213,-0.561,35.281,0.000,3757.619,296.311
3.613,45.422,-0.541,36.102,0.000,3816.230,296.433
3.630,45.632,-0.452,35.688,0.000,3792.284,296.230
3.646,45.841,-0.332,35.502,0.000,3840.342,296.311
3.663,46.052,-0.312,35.983,0.000,3818.636,296.311
3.680,46.261,-0.332,35.658,0.000,3863.369,296.556
3.696,46.471,-0.342,36.290,0.000,3869.437,296.352
3.713,46.681,-0.422,36.324,0.000,3889.886,296.311
3.730,46.891,-0.442,36.357,0.000,3913.757,296.352
3.746,47.100,-0.611,36.860,0.000,3884.544,296.311
3.763,47.310,-0.581,37.033,0.000,3934.374,296.311
3.780,47.516,-0.222,36.559,0.000,3958.034,296.393
3.796,47.725,-0.382,37.639,0.000,3995.949,296.311
3.813,47.936,-0.382,37.773,0.000,3971.035,296.352
3.830,48.145,-0.521,37.578,0.000,3999.959,296.433
3.846,48.355,-0.521,37.841,0.000,4006.550,296.474
3.863,48.565,-0.661,38.103,0.000,4056.341,296.352
3.880,48.775,-0.432,38.537,0.000,4032.820,296.393
3.896,48.985,-0.541,39.139,0.000,4068.483,296.393
3.913,49.195,-0.352,38.582,0.000,4098.250,296.311
3.930,49.404,-0.432,38.278,0.000,4143.493,296.311
3.946,49.611,-0.471,38.956,0.000,4124.638,296.393
3.963,49.821,-0.641,39.133,0.000,4144.050,296.311
3.980,50.030,-0.412,39.266,0.000,4134.342,296.352
3.996,50.239,-0.202,39.091,0.000,4153.633,296.515
4.013,50.449,-0.412,39.274,0.000,4186.359,296.433
4.030,50.659,-0.372,39.398,0.000,4200.884,296.311
4.046,50.868,-0.461,39.381,0.000,4241.937,296.352
4.063,51.078,-0.461,39.515,0.000,4232.164,296.230
4.080,51.288,-0.362,39.429,0.000,4230.812,296.393
4.096,51.498,-0.611,40.510,0.000,4255.482,296.352
