Time (h),Cum. Gas Inj (SCC),Cum. Gas Prod. (SCC),Cum Oil Prod. (SCC),Pressure (atm)
39.01,37270.63,29905.12,10.08,255.06
39.02,37297.38,29921.27,10.09,255
39.03,37299.79,29934.57,10.09,255.03
39.04,37302.2,29934.43,10.09,255.06
39.05,37318.63,29946.87,10.1,255.01
39.06,37323.46,29948.03,10.1,255.03
39.07,37344.73,29958.79,10.08,255
39.08,37350.2,29964.46,10.1,255.01
39.09,37352.29,29966.72,10.1,255.04
39.1,37363.24,29983,10.13,255.03
39.11,37371.13,29985.26,10.13,255.03
39.12,37383.86,29996.45,10.11,255.04
39.13,37389.33,30004.24,10.09,255.06
39.14,37405.12,30018.13,10.09,255.01
39.15,37421.54,30022.79,10.09,254.97
39.16,37418.49,30025.91,10.09,255.03
39.17,37439.74,30053.1,10.12,255
39.18,37439.43,30052.38,10.12,255.04
39.19,37447.32,30055.79,10.11,255.04
39.2,37457.95,30064.01,10.11,255.03
39.21,37463.1,30071.93,10.13,255.04
39.22,37478.89,30084.81,10.13,255.04
39.23,37489.52,30090.33,10.13,255.03
39.24,37502.87,30097.68,10.13,255
39.25,37508.03,30105.9,10.11,255.01
39.26,37515.93,30109.31,10.11,255.01
39.27,37534.44,30122.48,10.12,255
39.28,37536.87,30130.7,10.1,255.03
39.29,37547.49,30130.41,10.1,255.01
39.3,37555.38,30144.15,10.11,255.01
39.31,37560.55,30146.98,10.11,255.03
39.32,37576.33,30166.1,10.13,255.03
39.33,37589.68,30173.45,10.13,255
39.34,37592.11,30184.36,10.14,255.03
39.35,37597.28,30183.93,10.14,255.04
39.36,37605.17,30192.72,10.13,255.04
39.37,37623.68,30208.58,10.13,255.03
39.38,37631.58,30219.48,10.13,255.03
39.39,37644.92,30221.74,10.15,255
39.4,37652.81,30232.93,10.15,255
39.41,37652.53,30232.21,10.15,255.04
39.42,37673.76,30243.55,10.12,255.01
39.43,37681.65,30246.82,10.11,255.01
39.44,37684.1,30262.25,10.11,255.04
39.45,37691.99,30268.05,10.16,255.04
39.46,37705.33,30275.84,10.16,255.01
39.47,37718.39,30284.48,10.16,255.03
39.48,37726.28,30289.29,10.14,255.03
39.49,37734.17,30302.74,10.14,255.03
39.5,37744.79,30313.51,10.14,255.01
39.51,37750.27,30305.72,10.14,255.03
39.52,37755.17,30332.19,10.21,255.08
39.53,37765.79,30338.29,10.21,255.07
39.54,37770.96,30340.41,10.19,255.08
39.55,37784.29,30349.2,10.19,255.06
39.56,37786.75,30351.46,10.17,255.08
39.57,37799.82,30364.62,10.21,255.1
39.58,37810.43,30378.07,10.21,255.08
39.59,37818.32,30386.14,10.2,255.08
39.6,37828.93,30389.41,10.2,255.07
39.61,37831.39,30393.93,10.2,255.1
39.62,37839.03,30405.13,10.16,255.14
39.63,37860.51,30419.01,10.16,255.07
39.64,37854.82,30423.39,10.16,255.14
39.65,37868.15,30429.05,10.17,255.11
39.66,37873.33,30442.22,10.17,255.12
39.67,37886.4,30456.68,10.17,255.14
39.68,37894.3,30464.75,10.21,255.14
39.69,37899.48,30467.01,10.21,255.15
39.7,37912.8,30474.93,10.21,255.12
39.71,37926.12,30475.37,10.2,255.1
39.72,37933.77,30488.68,10.2,255.14
39.73,37949.8,30504.53,10.2,255.1
39.74,37954.98,30515.73,10.17,255.11
39.75,37965.59,30518.42,10.17,255.1
39.76,37976.19,30523.36,10.2,255.08
39.77,37983.85,30543.07,10.17,255.12
39.78,37997.16,30550.42,10.17,255.1
39.79,38002.35,30550.85,10.17,255.11
39.8,38015.66,30563.43,10.2,255.08
39.81,38018.14,30569.1,10.2,255.11
39.82,38036.63,30579.58,10.18,255.1
39.83,38039.11,30585.54,10.19,255.12
39.84,38047.01,30598.41,10.19,255.12
39.85,38063.34,30603.79,10.22,255.08
39.86,38065.5,30612.44,10.22,255.11
39.87,38084,30625.46,10.22,255.1
39.88,38089.5,30633.53,10.22,255.11
39.89,38097.08,30633.53,10.22,255.11
39.9,38110.7,30646.7,10.22,255.08
39.91,38107.77,30652.37,10.19,255.14
39.92,38118.06,30666.25,10.19,255.12
39.93,38144.98,30671.34,10.21,255.07
39.94,38144.76,30685.23,10.23,255.11
39.95,38149.95,30687.63,10.23,255.12
39.96,38163.25,30703.63,10.22,255.1
39.97,38168.44,30707.19,10.22,255.11
39.98,38186.93,30717.81,10.2,255.1
39.99,38194.83,30722.47,10.2,255.1
40,38202.72,30736.06,10.23,255.1
40.01,38210.61,30738.61,10.23,255.1
40.02,38218.51,30749.51,10.25,255.1
40.03,38234.3,30760.85,10.21,255.1
40.04,38234.09,30762.97,10.21,255.14
40.05,38250.08,30773.87,10.22,255.1
40.06,38257.98,30777,10.22,255.1
40.07,38268.57,30790.16,10.22,255.08
40.08,38287.06,30800.78,10.23,255.07
40.09,38292.25,30811.39,10.27,255.08
40.1,38302.84,30819.61,10.27,255.07
40.11,38305.34,30828.12,10.23,255.1
40.12,38318.63,30831.53,10.23,255.07
40.13,38329.02,30849.64,10.22,255.1
40.14,38350.4,30849.64,10.26,255.03
40.15,38352.9,30862.66,10.26,255.06
40.16,38352.7,30865.2,10.26,255.1
40.17,38365.99,30882.07,10.28,255.07
40.18,38387.16,30892.54,10.26,255.04
40.19,38397.75,30900.47,10.26,255.03
40.2,38408.34,30903.31,10.24,255.01
40.21,38418.93,30913.64,10.24,255
40.22,38416.04,30916.04,10.25,255.06
40.23,38434.52,30934.86,10.33,255.04
40.24,38447.8,30943.08,10.33,255.01
40.25,38453,30952.01,10.33,255.03
40.26,38469.28,30959.66,10.29,254.99
40.27,38468.78,30964.9,10.29,255.03
40.28,38479.18,30977.92,10.29,255.06
40.29,38487.39,30989.55,10.24,255.06
40.3,38503.04,30997.91,10.24,255.01
40.31,38511.25,31002.42,10.27,255.01
40.32,38518.83,31011.21,10.27,255.01
40.33,38534.92,31024.24,10.25,255.01
40.34,38540.13,31023.66,10.25,255.03
40.35,38550.71,31042.92,10.29,255.01
40.36,38566.67,31048.02,10.29,254.97
40.37,38569.18,31048.74,10.3,255
40.38,38584.96,31066.71,10.29,255
40.39,38595.54,31069.54,10.29,254.99
40.4,38603.43,31077.33,10.27,254.99
40.41,38603.27,31080.16,10.27,255.03
40.42,38611.16,31093.32,10.31,255.03
40.43,38629.63,31101.83,10.31,255.01
40.44,38645.58,31107.78,10.32,254.97
40.45,38648.1,31117.82,10.32,255
40.46,38664.04,31128.73,10.3,254.96
40.47,38671.93,31136.66,10.3,254.96
40.48,38682.35,31153.09,10.31,254.99
40.49,38692.92,31157.9,10.31,254.97
40.5,38703.5,31157.9,10.31,254.96
40.51,38708.7,31174.18,10.3,254.97
40.52,38722.28,31182.26,10.3,254.95
40.53,38727.33,31190.33,10.27,255
40.54,38740.27,31198.4,10.27,254.97
40.55,38743.11,31204.07,10.29,255
40.56,38750.69,31211.71,10.29,255
40.57,38753.53,31217.37,10.32,255.03
40.58,38766.64,31235.92,10.3,255.04
40.59,38784.93,31232.94,10.3,254.99
40.6,38787.78,31241.16,10.34,255.01
40.61,38800.71,31246.1,10.34,254.99
40.62,38811.6,31246.25,10.34,254.97
40.63,38816.67,31271.04,10.34,255.03
40.64,38824.25,31270.9,10.32,255.03
40.65,38835.13,31284.5,10.32,255.01
40.66,38837.67,31291.99,10.34,255.04
40.67,38848.24,31305.44,10.34,255.03
40.68,38874.73,31317.21,10.33,254.97
40.69,38874.59,31327.69,10.33,255.01
40.7,38879.81,31324.85,10.33,255.03
40.71,38885.03,31337.87,10.33,255.04
40.72,38887.57,31343.83,10.33,255.07
40.73,38906.03,31362.66,10.34,255.06
40.74,38916.6,31364.63,10.34,255.04
40.75,38929.83,31373.14,10.35,255.01
40.76,38927.04,31381.5,10.35,255.07
40.77,38937.6,31387.17,10.33,255.06
40.78,38956.06,31394.81,10.34,255.04
40.79,38958.61,31409.12,10.34,255.07
40.8,38961.16,31413.64,10.34,255.1
40.81,38969.06,31419.6,10.36,255.1
40.82,38976.95,31424.11,10.36,255.1
40.83,38998.08,31443.67,10.35,255.07
40.84,39005.97,31454.14,10.35,255.07
40.85,39016.53,31459.24,10.35,255.06
40.86,39021.76,31467.45,10.32,255.07
40.87,39032.32,31470.15,10.32,255.06
40.88,39042.77,31486.28,10.37,255.08
40.89,39050.66,31488.54,10.4,255.08
40.9,39058.56,31504.82,10.4,255.08
40.91,39066.45,31505.26,10.4,255.08
40.92,39071.68,31516.46,10.36,255.1
40.93,39092.8,31529.33,10.37,255.07
40.94,39101,31540.38,10.37,255.07
40.95,39100.59,31534.42,10.39,255.11
40.96,39116.79,31553.98,10.39,255.07
40.97,39127.03,31559.07,10.38,255.06
40.98,39134.83,31564.16,10.38,255.1
40.99,39145.7,31580.16,10.38,255.08
41,39156.26,31588.67,10.38,255.07
41.01,39161.49,31593.76,10.4,255.08
41.02,39166.72,31607.5,10.4,255.1
41.03,39185.17,31612.59,10.41,255.08
41.04,39193.06,31626.05,10.39,255.08
41.05,39198.3,31628.88,10.39,255.1
41.06,39208.85,31639.64,10.41,255.08
41.07,39216.74,31644.88,10.41,255.08
41.08,39227.21,31663.71,10.4,255.11
41.09,39240.42,31669.38,10.4,255.08
41.1,39248.32,31676.88,10.38,255.08
41.11,39248.24,31679.43,10.38,255.12
41.12,39264.1,31690.77,10.37,255.08
41.13,39285.2,31706.62,10.36,255.06
41.14,39287.78,31717.1,10.36,255.08
41.15,39298.33,31720.22,10.37,255.07
41.16,39303.57,31717.24,10.37,255.08
41.17,39316.78,31725.45,10.44,255.06
41.18,39324.6,31747.26,10.44,255.1
41.19,39337.8,31749.96,10.4,255.07
41.2,39340.39,31754.76,10.4,255.1
41.21,39353.59,31760.28,10.41,255.07
41.22,39358.83,31774.03,10.41,255.08
41.23,39371.96,31793.01,10.39,255.1
41.24,39387.81,31790.46,10.38,255.06
41.25,39390.4,31797.67,10.38,255.08
41.26,39403.6,31809.29,10.39,255.06
41.27,39400.89,31814.53,10.39,255.11
41.28,39424.94,31830.38,10.42,255.07
41.29,39432.52,31824.86,10.42,255.07
41.3,39448.68,31841.15,10.41,255.03
41.31,39448.31,31851.62,10.41,255.07
41.32,39459.16,31856.86,10.42,255.06
41.33,39477.6,31875.54,10.46,255.04
41.34,39482.53,31880.78,10.46,255.06
41.35,39493.38,31881.07,10.41,255.04
41.36,39493.02,31894.96,10.41,255.08
41.37,39498.58,31897.07,10.41,255.1
41.38,39517.01,31916.92,10.4,255.08
41.39,39527.55,31921.86,10.44,255.07
41.4,39538.09,31932.77,10.44,255.06
41.41,39540.38,31937.43,10.43,255.08
41.42,39548.59,31946.22,10.43,255.08
41.43,39569.66,31956.41,10.43,255.06
41.44,39579.89,31970.72,10.46,255.04
41.45,39585.45,31970,10.46,255.06
41.46,39593.34,31978.07,10.46,255.06
41.47,39598.59,31991.67,10.43,255.07
41.48,39609.13,31994.65,10.43,255.06
41.49,39622.27,32005.27,10.45,255.07
41.5,39638.09,32016.32,10.44,255.03
41.51,39645.98,32027.22,10.44,255.03
41.52,39643.31,32026.93,10.46,255.08
41.53,39656.49,32032.03,10.46,255.06
41.54,39669.63,32050.43,10.48,255.07
41.55,39680.16,32062.05,10.48,255.06
41.56,39693.34,32066.86,10.48,255.03
41.57,39695.95,32072.24,10.48,255.06
41.58,39703.84,32077.62,10.47,255.06
41.59,39716.99,32098.86,10.44,255.07
41.6,39730.16,32102.13,10.44,255.04
41.61,39740.69,32107.22,10.47,255.03
41.62,39738.03,32112.17,10.47,255.08
41.63,39748.56,32120.1,10.47,255.07
41.64,39774.9,32139.21,10.49,255.01
41.65,39772.24,32139.36,10.49,255.07
41.66,39780.14,32155.07,10.49,255.07
41.67,39801.21,32160.45,10.47,255
41.68,39804.14,32163.29,10.47,255.03
41.69,39819.93,32179.29,10.48,255.03
41.7,39827.51,32184.81,10.51,255.03
41.71,39838.35,32190.76,10.51,255.01
41.72,39845.92,32195.86,10.49,255.01
41.73,39854.13,32204.08,10.49,255.01
41.74,39880.45,32222.48,10.47,254.96
41.75,39864.33,32228.44,10.47,255.08
41.76,39885.7,32225.89,10.52,255.01
41.77,39890.96,32236.07,10.52,255.03
41.78,39893.59,32246.69,10.51,255.06
41.79,39914.64,32265.39,10.47,255.03
41.8,39922.21,32270.77,10.47,255.03
41.81,39935.68,32276.15,10.48,255
41.82,39940.94,32287.34,10.48,255.01
41.83,39951.46,32294.98,10.48,255
41.84,39967.25,32306.32,10.48,255
41.85,39972.51,32311.41,10.47,255.01
41.86,39980.4,32322.46,10.47,255.01
41.87,39988.29,32322.46,10.49,255.01
41.88,39998.81,32324.43,10.49,255
41.89,40011.97,32343.98,10.51,255.01
41.9,40022.49,32348.79,10.47,255
41.91,40019.87,32357.3,10.47,255.06
41.92,40038.27,32367.62,10.5,255
41.93,40048.79,32378.24,10.5,254.99
41.94,40061.95,32386.45,10.55,255
41.95,40075.09,32394.81,10.55,254.97
41.96,40080.35,32397.65,10.51,254.99
41.97,40085.62,32408.56,10.51,255
41.98,40096.14,32416.2,10.49,254.99
41.99,40111.92,32429.8,10.5,254.99
42,40119.81,32431.77,10.5,254.99
42.01,40125.08,32445.65,10.52,255
42.02,40138.22,32453.86,10.52,254.97
42.03,40138.24,32456.12,10.52,255.01
42.04,40161.89,32469.86,10.52,254.97
42.05,40164.85,32470.3,10.52,255
42.06,40169.81,32486.73,10.52,255.01
42.07,40175.08,32491.67,10.55,255.03
42.08,40188.21,32496.05,10.55,255
42.09,40203.99,32504.27,10.52,255
42.1,40217.12,32512.91,10.58,254.97
42.11,40219.78,32526.22,10.58,255
42.12,40233.22,32539.81,10.58,254.97
42.13,40228.02,32531.03,10.51,255.04
42.14,40251.66,32553.13,10.51,255
42.15,40262.17,32558.51,10.51,254.99
42.16,40264.83,32560.62,10.53,255.01
42.17,40277.95,32563.75,10.53,254.99
42.18,40283.23,32577.05,10.57,255
42.19,40299.01,32593.2,10.55,255
42.2,40306.9,32599.15,10.55,255
42.21,40317.41,32604.68,10.55,254.99
42.22,40325.3,32609.2,10.55,254.99
42.23,40333.19,32620.53,10.55,254.99
42.24,40348.97,32638.93,10.57,254.99
42.25,40354.25,32634.13,10.57,255
42.26,40359.53,32644.46,10.57,255.01
42.27,40375.26,32652.38,10.58,254.97
42.28,40372.7,32657.91,10.58,255.03
42.29,40396.32,32671.79,10.61,254.99
42.3,40396.38,32676.89,10.55,255.03
42.31,40406.88,32679.29,10.55,255.01
42.32,40419.99,32687.65,10.55,254.99
42.33,40433.1,32696.3,10.56,254.96
42.34,40441.06,32712.01,10.55,255
42.35,40451.56,32724.46,10.55,254.99
42.36,40459.45,32727.57,10.61,254.99
42.37,40469.95,32733.82,10.61,254.97
42.38,40467.41,32744.15,10.58,255.03
42.39,40485.8,32757.03,10.59,255.01
42.4,40498.9,32754.77,10.59,254.99
42.41,40507.11,32776.87,10.59,254.99
42.42,40514.69,32774.04,10.57,254.99
42.43,40522.89,32781.97,10.57,254.99
42.44,40538.68,32794.84,10.58,254.99
42.45,40543.65,32797.67,10.61,255
42.46,40557.06,32808.72,10.61,254.97
42.47,40572.46,32817.08,10.59,254.93
42.48,40572.85,32821.89,10.59,254.97
42.49,40586.02,32827.42,10.55,254.99
42.5,40596.2,32832.8,10.55,254.97
42.51,40599.2,32841.01,10.6,255
42.52,40604.18,32854.75,10.6,255.01
42.53,40620.19,32851.49,10.56,254.97
42.54,40622.97,32867.63,10.62,255.04
42.55,40641.26,32883.77,10.62,254.99
42.56,40646.55,32886.75,10.59,255
42.57,40651.84,32889.15,10.59,255.01
42.58,40662.34,32905.59,10.59,255
42.59,40678.12,32913.08,10.61,255
42.6,40688.61,32921.01,10.63,254.99
42.61,40701.7,32924.13,10.63,254.96
42.62,40704.39,32932.2,10.6,254.99
42.63,40714.88,32937.73,10.6,254.97
42.64,40730.66,32959.11,10.6,254.97
42.65,40730.76,32967.9,10.57,255.01
42.66,40743.85,32969.87,10.57,254.99
42.67,40754.34,32967.04,10.59,254.97
42.68,40757.03,32980.49,10.59,255
42.69,40780.6,32988.85,10.6,254.96
42.7,40778.11,33002.01,10.6,255.01
42.71,40796.39,33010.09,10.6,254.96
42.72,40804.28,33013.06,10.6,254.96
42.73,40809.57,33021.28,10.63,254.97
42.74,40825.35,33034.3,10.64,254.97
42.75,40833.24,33037.85,10.64,254.97
42.76,40841.14,33050.3,10.64,254.97
42.77,40849.34,33058.66,10.64,254.97
42.78,40851.73,33063.89,10.64,255
42.79,40872.7,33071.97,10.62,254.97
42.8,40870.54,33082.44,10.67,255.03
42.81,40893.66,33088.1,10.67,254.95
42.82,40888.92,33090.37,10.62,255.01
42.83,40899.08,33104.69,10.62,255
42.84,40917.45,33117.84,10.67,254.99
42.85,40923.07,33120.25,10.64,255
42.86,40930.96,33125.34,10.64,255
42.87,40946.62,33128.9,10.64,254.96
42.88,40951.92,33136.68,10.62,254.97
42.89,40959.94,33149.85,10.63,255.01
42.9,40973.01,33163.73,10.63,254.99
42.91,40988.66,33166.28,10.63,254.95
42.92,40983.62,33168.68,10.63,255.01
42.93,40996.68,33179.87,10.65,254.99
42.94,41009.88,33185.11,10.66,255
42.95,41015.19,33199.14,10.66,255.01
42.96,41025.66,33201.4,10.66,255
42.97,41036.14,33216.68,10.64,254.99
42.98,41041.45,33214.42,10.64,255
42.99,41046.75,33220.23,10.66,255.01
43,41062.54,33244.01,10.67,255.01
43.01,41075.59,33241.9,10.67,254.99
43.02,41080.9,33251.94,10.65,255
43.03,41083.63,33257.47,10.65,255.03
43.04,41096.69,33268.52,10.65,255
43.05,41112.47,33276.74,10.65,255
43.06,41125.52,33287.35,10.65,254.97
43.07,41133.41,33290.48,10.65,254.97
43.08,41138.72,33297.97,10.7,254.99
43.09,41138.88,33292.01,10.7,255.03
43.1,41162.4,33316.37,10.69,254.99
43.11,41162.55,33319.21,10.68,255.03
43.12,41170.44,33321.61,10.68,255.03
43.13,41191.23,33337.61,10.67,254.96
43.14,41193.96,33343.28,10.67,254.99
43.15,41202.01,33356.73,10.69,255.03
43.16,41212.48,33362.83,10.69,255.01
43.17,41215.22,33370.19,10.65,255.04
43.18,41228.27,33375.14,10.65,255.01
43.19,41233.58,33380.95,10.66,255.03
43.2,41247.11,33388.87,10.68,255.04
43.21,41264.98,33399.92,10.68,254.99
43.22,41268.04,33410.97,10.71,255.01
43.23,41285.92,33413.8,10.71,254.96
43.24,41278.68,33416.07,10.69,255.04
43.25,41297.04,33431.06,10.69,255.03
43.26,41304.93,33439.85,10.67,255.03
43.27,41323.11,33447.92,10.67,254.97
43.28,41331,33450.47,10.68,254.97
43.29,41331.18,33459.12,10.68,255.01
43.3,41344.39,33469.58,10.73,255.03
43.31,41347.14,33483.04,10.73,255.06
43.32,41355.03,33488.13,10.73,255.06
43.33,41360.36,33493.81,10.67,255.07
43.34,41373.39,33499.33,10.67,255.04
43.35,41391.74,33515.62,10.7,255.03
43.36,41399.63,33518.59,10.7,255.03
43.37,41404.96,33529.06,10.73,255.04
43.38,41417.99,33534.3,10.73,255.01
43.39,41423.31,33544.92,10.71,255.03
43.4,41436.53,33561.5,10.7,255.04
43.41,41446.99,33561.36,10.7,255.03
43.42,41457.45,33569.57,10.72,255.01
43.43,41460.21,33574.95,10.72,255.04
43.44,41473.23,33580.04,10.72,255.01
43.45,41486.45,33596.62,10.71,255.03
43.46,41489.21,33599.16,10.73,255.06
43.47,41499.67,33606.95,10.73,255.04
43.48,41505,33612.18,10.74,255.06
43.49,41518.02,33617.57,10.74,255.03
43.5,41526.11,33628.62,10.72,255.07
43.51,41544.26,33644.9,10.72,255.01
43.52,41547.34,33639.38,10.72,255.04
43.53,41557.48,33658.5,10.72,255.03
43.54,41565.69,33649.85,10.74,255.03
43.55,41581.47,33674.79,10.72,255.03
43.56,41591.61,33676.47,10.72,255.01
43.57,41594.7,33684.68,10.75,255.04
43.58,41605.15,33690.21,10.75,255.03
43.59,41610.48,33700.97,10.74,255.04
43.6,41628.82,33709.47,10.76,255.03
43.61,41634.16,33712.16,10.76,255.04
43.62,41636.94,33725.19,10.76,255.07
43.63,41655.06,33730.57,10.74,255.01
43.64,41655.28,33744.02,10.74,255.06
43.65,41671.06,33752.24,10.74,255.06
43.66,41678.96,33755.22,10.74,255.06
43.67,41689.41,33768.96,10.74,255.04
43.68,41692.19,33771.36,10.77,255.07
43.69,41707.75,33774.05,10.77,255.03
43.7,41713.31,33790.05,10.74,255.08
43.71,41726.31,33798.12,10.75,255.06
43.72,41734.21,33806.05,10.75,255.06
43.73,41744.65,33805.76,10.75,255.04
43.74,41752.55,33811.57,10.74,255.04
43.75,41770.88,33827.86,10.74,255.03
43.76,41778.78,33844.15,10.74,255.03
43.77,41776.46,33843.86,10.74,255.08
43.78,41794.56,33849.67,10.74,255.03
43.79,41794.8,33852.36,10.75,255.07
43.8,41813.14,33878.84,10.75,255.06
43.81,41821.03,33880.95,10.75,255.06
43.82,41831.47,33884.79,10.75,255.04
43.83,41844.46,33894.83,10.8,255.01
43.84,41847.26,33894.69,10.8,255.04
43.85,41873.24,33919.34,10.79,254.99
43.86,41868.39,33919.33,10.8,255.06
43.87,41868.64,33929.67,10.8,255.1
43.88,41881.94,33936.06,10.78,255.07
43.89,41894.61,33940.72,10.78,255.04
43.9,41912.94,33959.84,10.77,255.03
43.91,41923.7,33970.03,10.77,255.01
43.92,41923.64,33967.77,10.75,255.06
43.93,41931.85,33973.01,10.75,255.06
43.94,41941.97,33981.36,10.79,255.04
43.95,41952.98,33997.22,10.8,255.07
43.96,41960.87,34008.55,10.8,255.07
43.97,41968.77,34010.53,10.76,255.07
43.98,41981.75,34012.65,10.76,255.04
43.99,41989.64,34026.39,10.78,255.04
44,42002.88,34034.74,10.78,255.06
44.01,42010.77,34039.98,10.81,255.06
44.02,42016.13,34053.72,10.81,255.07
44.03,42031.64,34045.36,10.81,255.03
44.04,42034.45,34059.39,10.81,255.06
44.05,42050.24,34072.84,10.83,255.06
44.06,42058.13,34078.08,10.82,255.06
44.07,42068.56,34088.26,10.82,255.04
44.08,42068.84,34093.93,10.82,255.08
44.09,42091.97,34102.29,10.84,255
44.1,42097.6,34115.61,10.78,255.06
44.11,42100.41,34115.89,10.78,255.08
44.12,42115.92,34126.36,10.82,255.04
44.13,42121.27,34132.03,10.82,255.06
44.14,42126.63,34132.18,10.81,255.07
44.15,42142.42,34152.55,10.82,255.07
44.16,42152.85,34166.72,10.82,255.06
44.17,42153.13,34171.96,10.82,255.1
44.18,42166.1,34180.75,10.83,255.07
44.19,42173.99,34185.99,10.83,255.07
44.2,42192.31,34193.48,10.84,255.06
44.21,42192.6,34198.72,10.84,255.1
44.22,42205.56,34212.17,10.84,255.07
44.23,42215.99,34215.44,10.81,255.06
44.24,42221.35,34220.97,10.81,255.07
44.25,42247.27,34233.99,10.81,255.01
44.26,42245.03,34242.2,10.81,255.07
44.27,42255.45,34255.22,10.84,255.06
44.28,42268.41,34250.41,10.84,255.03
44.29,42271.24,34263.15,10.82,255.06
44.3,42284.49,34276.6,10.84,255.07
44.31,42297.76,34287.51,10.84,255.04
44.32,42305.34,34287.22,10.86,255.04
44.33,42311.02,34295.72,10.86,255.06
44.34,42313.54,34303.79,10.85,255.08
44.35,42339.44,34322.91,10.87,255.03
44.36,42345.12,34322.63,10.87,255.04
44.37,42355.54,34332.96,10.87,255.03
44.38,42360.9,34338.77,10.85,255.04
44.39,42368.8,34349.1,10.85,255.04
44.4,42382.06,34352.23,10.84,255.06
44.41,42389.95,34359.86,10.88,255.06
44.42,42395.32,34373.31,10.88,255.07
44.43,42403.21,34378.98,10.87,255.07
44.44,42408.58,34381.96,10.87,255.08
44.45,42424.36,34400.22,10.87,255.08
44.46,42434.78,34411.42,10.87,255.07
44.47,42445.2,34416.65,10.88,255.06
44.48,42455.61,34422.61,10.88,255.04
44.49,42458.46,34430.54,10.84,255.07
44.5,42476.77,34438.47,10.85,255.06
44.51,42482.14,34443.85,10.85,255.07
44.52,42495.08,34454.18,10.87,255.04
44.53,42492.89,34462.97,10.87,255.1
44.54,42508.34,34470.46,10.88,255.06
44.55,42526.65,34489.87,10.88,255.04
44.56,42529.5,34489.58,10.88,255.07
44.57,42537.39,34499.92,10.88,255.07
44.58,42550.33,34511.4,10.87,255.04
44.59,42553.18,34516.49,10.87,255.07
44.6,42558.55,34521.58,10.88,255.08
44.61,42571.82,34532.35,10.89,255.1
44.62,42579.72,34540.85,10.89,255.1
44.63,42587.61,34545.37,10.87,255.1
44.64,42600.54,34551.61,10.87,255.07
44.65,42603.4,34564.63,10.87,255.1
44.66,42624.22,34581.06,10.89,255.07
44.67,42629.6,34589.42,10.87,255.08
44.68,42640.01,34585.73,10.87,255.07
44.69,42647.9,34591.68,10.88,255.07
44.7,42653.28,34604.99,10.88,255.08
44.71,42671.58,34618.44,10.89,255.07
44.72,42681.98,34621.56,10.92,255.06
44.73,42695.22,34626.22,10.92,255.03
44.74,42692.75,34639.54,10.89,255.08
44.75,42703.47,34647.9,10.89,255.07
44.76,42726.79,34656.55,10.87,255.03
44.77,42724.32,34669.71,10.87,255.08
44.78,42732.53,34679.75,10.9,255.08
44.79,42740.42,34679.75,10.9,255.08
44.8,42743.3,34688.11,10.91,255.11
44.81,42764.1,34699.16,10.87,255.08
44.82,42772,34704.26,10.87,255.08
44.83,42777.38,34712.76,10.87,255.1
44.84,42782.77,34720.54,10.9,255.11
44.85,42793.17,34736.68,10.9,255.1
44.86,42811.46,34744.9,10.89,255.08
44.87,42821.86,34744.61,10.93,255.07
44.88,42827.25,34761.04,10.93,255.08
44.89,42832.64,34763.44,10.92,255.1
44.9,42840.53,34777.18,10.92,255.1
44.91,42856.32,34790.21,10.92,255.1
44.92,42861.71,34793.76,10.92,255.11
44.93,42869.6,34801.54,10.92,255.11
44.94,42882.51,34809.62,10.92,255.08
44.95,42885.39,34814.13,10.95,255.11
44.96,42903.68,34830.71,10.91,255.1
44.97,42906.57,34841.33,10.91,255.12
44.98,42914.47,34838.78,10.93,255.12
44.99,42929.87,34854.78,10.93,255.08
45,42932.76,34865.54,10.94,255.11
45.01,42953.86,34870.78,10.94,255.08
45.02,42956.44,34883.95,10.92,255.11
45.03,42967.15,34878.71,10.92,255.1
45.04,42974.73,34900.52,10.93,255.1
45.05,42982.94,34903.21,10.93,255.1
45.06,43001.22,34911.57,10.94,255.08
45.07,43016.3,34916.66,10.96,255.04
45.08,43014.51,34924.73,10.96,255.1
45.09,43022.09,34939.05,10.92,255.1
45.1,43037.8,34944.14,10.92,255.06
45.11,43043.59,34962.68,10.98,255.11
45.12,43058.98,34970.33,10.98,255.07
45.13,43059.38,34970.47,10.95,255.11
45.14,43072.27,34976,10.95,255.08
45.15,43077.66,34989.59,10.98,255.1
45.16,43090.96,35002.61,10.99,255.11
45.17,43103.84,35013.37,10.99,255.08
45.18,43106.75,35023.85,10.99,255.11
45.19,43119.63,35032.35,10.99,255.08
45.2,43130.02,35032.35,11,255.07
45.21,43145.8,35051.04,11,255.07
45.22,43151.2,35049.35,11.02,255.08
45.23,43161.59,35061.66,11.02,255.07
45.24,43166.99,35060.12,11,255.08
45.25,43177.38,35057.14,11,255.07
45.26,43190.67,35080.49,11.03,255.08
45.27,43198.56,35091.83,11.03,255.08
45.28,43203.97,35099.61,11.03,255.1
45.29,43214.35,35116.19,11.02,255.08
45.3,43222.24,35118.73,11.02,255.08
45.31,43235.54,35145.5,11.02,255.1
45.32,43248.41,35148.04,11.02,255.07
45.33,43253.82,35150.88,11,255.08
45.34,43264.52,35156.26,11,255.07
45.35,43272.09,35166.73,11.01,255.07
45.36,43285.39,35181.05,11.03,255.08
45.37,43293.6,35197.05,11.03,255.08
45.38,43303.67,35199.6,11.01,255.07
45.39,43314.05,35204.98,11.01,255.06
45.4,43316.97,35213.34,11.01,255.08
